#,ACTIVIDAD ,DESCRIPCION,FECHA REALIZACION,FECHA MAXIMA,ANTIGUO ENCARGADO,NIVEL IMPORTANCIA,VIDEO,MANUAL,Ubicación,Comentario Adic,Notas
11,Actualizacion APP 360  y Seguimiento de Tarjetas CC *Celerity Fiber*,"Se realiza un reporte en donde se descargan todos los movimientas de las tarjetas de credito de REGIONS, se valida que esten todos los soportes de las tarjetas de credito en la APP de Bills Tracker, se notifica a RH en caso de las facturas que presenten errores o las que se omitieron.",Semanalmente,Realizar la actualizacion de la APP almenos 1 Vez a la semana.,,Intermedio,SI,,Escritorio ? Reportes ? CC Expenses,"Este reporte ya no se hace a la fecha. Si se retoma, ver el video",USA
13,Base de Datos de Quickbooks,"Se descarga una base de Datos de QuickBooks del mes en curso, esto nos permite saber los Gastos e Ingreso de toda la Contabilidad, la contabilidad va 1 mes atrasado.",Mensualmente,"Lo ideal es realizarlo los primeros dias de cada mes, desde el 7*",,Intermedio,SI,,Escritorio ? Reportes ? Quickbooks,Solicitar accesos a Fatma para ingresar,
14,Sales and Taxes Report,Este es un reporte que se envia a Tina para que ella pueda considerar en QuickBooks los valores de Impuestos por las comisiones de las Ventas en los paquetes - Upgrades en GLDS.,Mensualmente,Se realiza el proceso 1 vez al mes (Despues del soft disconnect de sarah),,Intermedio,Si,SI,Escritorio ? Reportes ? 2 Day Sales - Taxes Report,,USA
MARKETING REPORTS,,,,,,,,,,,
14,Creacion Reporte GLDS Churn,"Nos permite conocer cuales son los usurios de GLDS Nuevos,CHURN, y Activos.",05 de Cada Mes,Se puede realizar despues del 05 de Cada mes.,,Alto,SI,,One Drive Sofía ? Marketing Reports - shared ? GLDS CHURN REPORT. (Luego actualizar BI = Churn Report),,
15,2025 Executive Dashboard,"Nos permite conocer cual es el ingreso recurrente *Charge - Discounts* de todas las propiedades en GLDS, adicional se hace un tracking al Premier Membership, esto con el fin de saber cuanto hemos vendido de Premier Membership. ",03 de Cada Mes,Se puede realizar despues del 05 de Cada mes.,,Alto,SI,,One Drive Sofía ? Marketing Reports - shared ? Executive Dashboard. (Luego actualizar BI = Executive Dashboard),,
16,2025 Packages y Services Ranking,"Es un Ranking que nos permite saber cuales son los paquetes- Servicios que mayor participacion tienen en GLDS, identificando oportunidades",05 de Cada Mes,Se puede realizar despues del 05 de Cada mes.,,Alto,SI,,,,
17,2025 PIE Prop With Fiber,"Es un Dash para saber cuales son nuestras FR Activas en la FL, cual es nuestra participacion en todas las FR en cuanto a Upgrades, numero de Units totales y demas informacion relevante.",30 de Cada Mes,Se puede realizar despues del 30 de Cada mes e inicios del siguiente,,Alto,SI,,One Drive Sofía ? Marketing Reports - shared ? Report Total Properties Data Base (Luego actualizar BI = Total Properties),,
18,2025 Properties With Fiber- Penetration,"Es un Dashboard que nos permite ver cual es la penetracion EMA- BULK en las diferentes propiedades, se puede ordenar por Account manager, tambien permite realizar el track por Propiedad.",05 de Cada Mes,Se puede realizar despues del 05 de Cada mes.,,Alto,SI,,,,
19,2025 Raking Properties,"Es un Dashboard que nos permite tener un orden de las propiedades que mas generan dinero para la compania, Ingreso de GLDS, QuickBooks,Ingreso y Gasto, tambien nos permiten ver el numero de CX Activos,CHURN.",09 de Cada Mes,Se puede realizar despues del 05 de Cada mes.,,Alto,SI,,One Drive Sofía ? Marketing Reports - shared ? Ranking Properties (Luego actualizar BI = Ranking Properties),,
22,Reporte Ajuste Premier Membership,"Reporte que se realiza para trackear y aplicar los descuentos de los Upgrades en las correspondientes a las propiedades que reciban el Premier Membership,lo que se hace es que se aplica solo por 1 mes el descuento del Premier Membership.",Mensualmente,La actividad se realiza 1 vez al incio del mes *el 2* cuando se hayan validado todas las comisiones/ventas del mes pasado,,Intermedio,SI,SI,One Drive Sofía ? PM Discount CE,,
23,Archivo de Seguimiento Gastos Tradeshows,"Se hace un track a todos los gastos de los Tradeshows y eventos de la compania, desde el gasto en Tarjetas de credito y demas.",Mensualmente,Segun solicitud del Jefe de Marketing,,Alto,SI,,,,
23,Creacion de Paquetes,Solicitud que realiza el equipo de CX cuando se requiere la adicion de 1 Paquete o Servicio en GLDS.,Según solicitud,Los requerimientos pueden variar segun la solicitud del Equipo de CX Service.,,Intermedio,,,,,
24,Contacts to CE,Son registros que llegan a submissions en Wordpress a traves de la pagina de Celerity. Se validan que sean clientes en GLDS y se notifica al equipo de CX para que los contacten.,Semanalmente,"Se puede realizar el viernes, cada que se revise wordpress",,Intermedio,,,One Drive Sofía ? Marketing Reports - shared ? Clients from Celerity Web,,
25,Leads Marketing,"Los leads que vengan de distintas fuentes se agregan en el excel. Los que hayan generado alguna reacción por campaña, se suben a salesforce",Semanalmente,,,Intermedio,,,Escritorio ? Reportes ? Marketing  ? Leads marketing 2026,,
26,Seguimiento Marketing Budget,"Se relacionan los pagos a eventos, merchandising, asociaciones, etc para verificar el valor de lo pagado a los proveedores y ajustar. Validar con Juan José los pagos a realizar",Mensualmente,Antes de finalizar el mes relacionar los pagos que quedaron,,Intermedio,,,Juan José Florez ? Budget (solicitar acceso),,
27,Campañas en Mailchimp,"Se ingresa a Mailchimp, se carga la audiencia separada por nombre, apellido, correo (la plataforma no sube correos repetidos). En la seccion de campañas se crear una según el template, elegir la audiencia, subject, horario",Semanalmente,Se realiza según los leads generados a la semana,,Intermedio,,,Solicitar credenciales Juan José,,
28,Revisión blogs de la agencia,"Se revisa el contenido de los blogs de la agencia para publicacion en la pagina, Juan José da el visto final",Mensualmente,,,Intermedio,,,,"Se revisa el contenido que genere la agencia, hacer seguimiento constante",
